question_id,section,domain,skill,question_type,difficulty_1_to_10,passage_or_stimulus,question_text,choice_a,choice_b,choice_c,choice_d,correct_answer,correct_answer_text,explanation,source_basis
RW-I-011,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,6,"Some economists once predicted that remote work would cause downtown restaurants to disappear. Yet several cities have seen a different pattern: while lunch traffic has fallen, evening business has grown as former office districts have added housing. The text suggests that the earlier prediction may have overlooked the possibility that",Which choice most logically completes the text?,restaurants can adapt to changes in when customers arrive.,remote work always increases residential rents.,office workers generally avoid eating dinner downtown.,cities should prohibit the conversion of offices into apartments.,A,restaurants can adapt to changes in when customers arrive.,The text shows restaurants surviving by shifting from lunch to evening demand.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-012,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,8,"Astronomer Vera Rubin's measurements of how fast stars orbit within galaxies did not match what scientists expected based only on visible matter. Her observations therefore became important evidence in support of the idea that additional, unseen matter exists in galaxies.",Which choice best states the role of Rubin's measurements in the text?,They provided evidence for a theory about unseen matter.,They proved that every galaxy has the same mass.,They showed that visible matter is distributed evenly in space.,They demonstrated that astronomers had mismeasured star brightness.,A,They provided evidence for a theory about unseen matter.,The final sentence explicitly says the measurements became evidence for unseen matter.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-013,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,2,"At first, critics dismissed the composer Elena Ortiz's use of street sounds in her orchestral work as distracting. Years later, some of those same critics praised the piece for expanding ideas about what could count as musical material. The text most strongly suggests that the critics' views",Which choice most logically completes the text?,became more favorable over time.,stayed consistent despite public reaction.,focused mainly on the length of Ortiz's work.,changed because Ortiz stopped using street sounds.,A,became more favorable over time.,The critics moved from dismissal to praise.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-I-014,Reading and Writing,Information and Ideas,Central idea / inference / command of evidence,MCQ,3,"Researchers compared two methods for restoring prairie land. After five years, plots restored by sowing a wide variety of native seeds supported more pollinator species than plots restored with only a few grass species. The researchers argue that restoration plans should emphasize plant diversity.",Which choice best identifies the evidence for the researchers' argument?,The restored plots were studied for five years.,Prairie land can be restored using more than one method.,Plots with more kinds of native plants supported more pollinator species.,Pollinators are important to healthy ecosystems.,C,Plots with more kinds of native plants supported more pollinator species.,The argument for diversity is supported by the higher pollinator counts in the more diverse plots.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-015,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,3,"Many readers think of the scientist's prose as dry, but in her field journals it is often playful. She describes a stubborn instrument as ""sulking"" and a storm cloud as ""marching in with theatrical confidence."" In the text, the word ""playful"" most nearly means","As used in the text, the word ""playful"" most nearly means",competitive,lighthearted,uncertain,careless,B,lighthearted,"The examples show humorous, imaginative language, so 'lighthearted' is the best match.","Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-016,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,4,"The editor moved the essay's personal anecdote from the beginning to the end, where it now echoes the argument made in the middle paragraphs. This change primarily helps the essay by",Which choice best describes the effect of this revision on the essay?,providing a memorable conclusion that reinforces the central claim,adding technical evidence to support a scientific hypothesis,eliminating the need for a thesis statement,making the chronology of the writer's childhood perfectly clear,A,providing a memorable conclusion that reinforces the central claim,The anecdote now functions as a conclusion that echoes and reinforces the argument.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-017,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,5,"Text 1: The town's yearly lantern festival has become so popular with tourists that local residents often avoid the main square during the event. Text 2: Even though the festival draws crowds, many residents still participate by volunteering, performing music, and hosting family gatherings nearby.",How would the author of Text 2 most likely respond to the concern raised in Text 1?,By arguing that the festival should be moved to another town,By agreeing that tourism has completely erased local involvement,By suggesting that residents remain engaged with the festival in important ways,By claiming that tourists rarely attend the festival at all,C,By suggesting that residents remain engaged with the festival in important ways,Text 2 acknowledges crowds but emphasizes continued resident participation.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-018,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,2,"In an article on coral reefs, a writer notes that some species of fish act like ""gardeners,"" trimming algae so that coral can grow. The quotation marks around ""gardeners"" indicate that the writer is using the term","In the text, the quotation marks around ""gardeners"" indicate that the writer is using the term","ironically, to mock the fish's behavior","literally, to show that the fish cultivate crops","figuratively, to compare the fish's role to a familiar job","historically, to refer to an outdated scientific label",C,"figuratively, to compare the fish's role to a familiar job",The fish are being compared figuratively to gardeners.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-019,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,4,"The phrase ""a quiet revolution"" appears in an article about libraries that are adding recording studios and tool-lending programs. As used in the text, the phrase suggests that the changes are","As used in the text, the phrase ""a quiet revolution"" most nearly suggests that the changes are",dramatic but occurring without much public attention,illegal and opposed by most library visitors,temporary responses to a short-term budget crisis,limited to libraries in rural areas,A,dramatic but occurring without much public attention,"'Revolution' suggests major change, while 'quiet' suggests low visibility.","Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-020,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,3,The historian includes a paragraph explaining that the kingdom's tax records survived only because they were copied onto durable stone. This paragraph mainly serves to,Which choice best describes the function of the paragraph about the kingdom's tax records?,challenge the reliability of all stone inscriptions,explain why evidence from that kingdom is unusually complete,argue that taxes were higher than historians once thought,show that paper records are always inaccurate,B,explain why evidence from that kingdom is unusually complete,The paragraph explains why records from this kingdom survived so well.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-021,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,2,"When the botanist writes that a rare fern has ""chosen"" the coolest corner of the greenhouse, she is most likely using the word ""chosen"" to","The botanist most likely uses the word ""chosen"" to",suggest that the fern made a conscious decision,acknowledge uncertainty about the fern's exact species,personify the fern in order to describe where it grows,indicate that another researcher placed the fern there,C,personify the fern in order to describe where it grows,The plant is personified; it did not literally choose.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-022,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,9,"Text 1: Expanding the city's bike-lane network will reduce traffic because more commuters will choose bicycles over cars. Text 2: Bike lanes may benefit current cyclists, but they won't substantially reduce traffic unless the city also improves public transit.",The author of Text 2 would most likely agree with which statement about Text 1?,It overlooks another transportation factor that affects congestion.,It exaggerates how expensive public transit can be.,It proves that car ownership is declining rapidly.,It underestimates the popularity of cycling among tourists.,A,It overlooks another transportation factor that affects congestion.,Text 2 says bike lanes alone are insufficient because transit also matters.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-023,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,3,"An art critic writes that a painter's later works are ""stripped of ornament."" In context, ""stripped of ornament"" most nearly means","As used in the text, ""stripped of ornament"" most nearly means",hidden from the public,reduced to simpler visual elements,damaged during transport,copied from older paintings,B,reduced to simpler visual elements,"The phrase implies removal of decorative extras, leaving a simpler style.","Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-024,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,2,"The final sentence of the paragraph asks, ""What would happen if neighborhoods designed for cars were redesigned for people instead?"" The sentence primarily serves to",The final sentence of the paragraph primarily serves to,present a question that frames the discussion that follows,summarize numerical findings from a transportation study,dismiss opposing views as unimportant,provide a definitive answer to the author's argument,A,present a question that frames the discussion that follows,The question sets up the topic rather than answering it.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-025,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,3,"A review describes a new biography as ""meticulous without becoming plodding."" This description suggests that the biography is",The review's description most strongly suggests that the biography is,carefully researched yet still engaging to read,brief because it omits most details,written mainly for specialists in a narrow field,organized in a confusing way,A,carefully researched yet still engaging to read,'Meticulous' means careful; 'without becoming plodding' means not dull.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-026,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,4,Text 1: The chef argues that recipes should be followed exactly because small changes can alter a dish's chemistry. Text 2: The food writer claims that home cooks learn best by improvising and adjusting recipes to their own tastes.,Which choice best describes the relationship between the texts?,Text 2 offers a practical example that confirms Text 1.,Text 2 presents a different perspective on how cooking should be approached.,Text 1 and Text 2 both focus on the history of restaurant menus.,Text 1 directly summarizes the evidence discussed in Text 2.,B,Text 2 presents a different perspective on how cooking should be approached.,The texts disagree about strictness versus improvisation in cooking.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-027,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,4,The writer opens the article with a description of a crowded subway car and later turns to statistics about average commute times. This structure helps the article by,This structure mainly helps the article by,moving from a concrete example to broader evidence,showing that statistics are less persuasive than anecdotes,proving that all commuters share the same experience,avoiding any clear organizational pattern,A,moving from a concrete example to broader evidence,The article begins with a specific image and then broadens to data.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-C-028,Reading and Writing,Craft and Structure,Vocabulary in context / text structure / cross-text analysis,MCQ,2,"In a speech, a student says the school garden has become ""a classroom without walls."" The phrase is used mainly to emphasize that the garden","The phrase ""a classroom without walls"" is used mainly to emphasize that the garden",is larger than any indoor classroom in the building,teaches students through outdoor experience,was built before the school itself was built,should be enclosed to protect plants from weather,B,teaches students through outdoor experience,The metaphor highlights the garden as a place of learning.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-E-029,Reading and Writing,Expression of Ideas,Revision / transitions / synthesis,MCQ,2,"A student is revising the following sentence from an essay about public parks: ""The new park includes walking trails, a community garden, and there is also a playground.""",Which choice most effectively revises the sentence to improve clarity and style?,"The new park includes walking trails, a community garden, and also there is a playground.","The new park includes walking trails, a community garden, and a playground.","The new park includes walking trails, a community garden, with a playground.","The new park includes walking trails, and a community garden, and there is a playground.",B,"The new park includes walking trails, a community garden, and a playground.","Choice B creates a clear, parallel list.","Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-E-030,Reading and Writing,Expression of Ideas,Revision / transitions / synthesis,MCQ,2,"A student is revising the following sentence from an essay about public parks: ""The new park includes walking trails, a community garden, and there is also a playground.""",Which choice most effectively revises the sentence to improve clarity and style?,"The new park includes walking trails, a community garden, and also there is a playground.","The new park includes walking trails, a community garden, and a playground.","The new park includes walking trails, a community garden, with a playground.","The new park includes walking trails, and a community garden, and there is a playground.",B,"The new park includes walking trails, a community garden, and a playground.","Choice B creates a clear, parallel list.","Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-E-031,Reading and Writing,Expression of Ideas,Revision / transitions / synthesis,MCQ,3,"A student wants to emphasize that the invention solved a long-standing problem. | For decades, early photographers struggled to keep images from fading. ______, the new chemical process allowed photographs to remain stable for years.",Which choice best completes the text?,"For example,","Likewise,","As a result,","Nevertheless,",C,"As a result,",'As a result' best signals that the new process solved the previously stated problem.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-E-032,Reading and Writing,Expression of Ideas,Revision / transitions / synthesis,MCQ,4,"Notes: | - The Riverside Theater opened in 1928. | - The building was designed by Lina Perez. | - In 2024, the theater reopened after a two-year restoration. | - The restoration preserved the original painted ceiling. | | A student wants to introduce the theater and mention its recent reopening.",Which choice most effectively uses relevant information from the notes?,"Designed by Lina Perez, the Riverside Theater opened in 1928 and reopened in 2024 after a two-year restoration.","The Riverside Theater has a painted ceiling, and some buildings are restored after they open.","The Riverside Theater reopened after a restoration, and Lina Perez designed many buildings in 1928.",A restoration preserved the theater's ceiling because the building opened in 1928.,A,"Designed by Lina Perez, the Riverside Theater opened in 1928 and reopened in 2024 after a two-year restoration.",Choice A accurately combines the key facts needed for the stated purpose.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-E-033,Reading and Writing,Expression of Ideas,Revision / transitions / synthesis,MCQ,3,"A paragraph about honeybees ends with a sentence explaining that bees communicate the location of food by performing a ""waggle dance."" The writer wants to add the following sentence next: ""This movement conveys both direction and distance.""",Where should the sentence be placed?,Before the sentence about bees communicating the location of food,"After the sentence about the ""waggle dance""",At the very beginning of the paragraph,It should not be added because it is irrelevant,B,"After the sentence about the ""waggle dance""","The added sentence refers to 'This movement,' so it should immediately follow the sentence about the waggle dance.","Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
RW-E-034,Reading and Writing,Expression of Ideas,Revision / transitions / synthesis,MCQ,2,"A student is drafting an essay about glass recycling: | ""Recycling glass saves raw materials. It also reduces the energy needed to make new bottles. ______, many cities have expanded glass collection programs in recent years.""",Which choice best completes the text?,"In contrast,","For this reason,","Meanwhile,","Instead,",B,"For this reason,",The final sentence follows logically as a result of the benefits just listed.,"Aligned to the current digital SAT domains and structure described by College Board: https://satsuite.collegeboard.org/sat/whats-on-the-test/structure ; https://satsuite.collegeboard.org/sat/whats-on-the-test/reading-writing ; https://satsuite.collegeboard.org/sat/whats-on-the-test/math/overview . These are original SAT-style practice questions, not copied live SAT items."
