question_id,volume,section,domain,response_format,difficulty_1_10,question_text,choice_A,choice_B,choice_C,choice_D,correct_answer,explanation
V2-RW-015,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,8,"In a physics article, the author describes a proposed theory as “elegant, though perhaps too elegant for the untidy world it seeks to explain.” The author’s attitude toward the theory is best characterized as",enthusiastic and uncritical,skeptical but respectful,dismissive and sarcastic,confused and indifferent,B,"Choice B is best because the author praises the theory’s elegance while also questioning whether that elegance fits messy reality. That combination signals skepticism tempered by respect, not sarcasm or indifference."
V2-RW-016,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,9,"A writer introduces a paragraph with a question—“What, after all, is a museum for?”—and then follows with examples of school tours, community meetings, and public archives. The opening question mainly helps the writer",dismiss the importance of museums as educational spaces.,frame the discussion around multiple possible functions of museums.,signal that the paragraph will focus only on tourism revenue.,show that no one agrees on a definition of art.,B,"Choice B is best because the question sets up the paragraph’s exploration of museums serving several roles, such as education, gathering space, and record keeping. The other choices narrow or distort the paragraph’s purpose."
V2-RW-017,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,7,"A passage refers to a scientist’s style as “spare.” In context, the passage goes on to say that her articles avoid flashy claims and unnecessary jargon. As used here, “spare” most nearly means",minimal and restrained,cold and hostile,incomplete and careless,old-fashioned and rigid,A,Choice A is best because the description of avoiding flashiness and unnecessary jargon suggests simplicity and restraint. The other choices introduce negative or unrelated meanings not supported by the context.
V2-RW-018,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,8,"In a speech, an activist says, “We are not asking the city for miracles. We are asking it to honor its own map.” The phrase “honor its own map” most nearly suggests that the city should",redraw district boundaries immediately.,follow through on plans and commitments it has already made.,promote tourism with better public signage.,replace paper maps with digital ones.,B,Choice B is best because “honor its own map” is a figurative way of saying the city should act consistently with its stated plans or promises. The other choices interpret “map” too literally.
V2-RW-019,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,9,An essay moves from describing a violin maker’s workshop in vivid sensory detail to explaining how tiny adjustments in wood thickness affect tone. This shift mainly helps the essay,transition from scene-setting to technical explanation.,abandon its focus on craftsmanship entirely.,argue that sound quality is impossible to measure.,criticize violin makers for being overly traditional.,A,Choice A is best because the essay clearly shifts from descriptive imagery to an explanation of technique. That structural move carries the reader from an immersive scene into a more analytical discussion.
V2-RW-020,SAT Harder Volume 2,Reading and Writing,Craft and Structure,MCQ,10,"A historian writes, “The reform failed legislatively but succeeded rhetorically; its language outlived its law.” Which choice best interprets the sentence?",The reform was passed into law but soon forgotten by the public.,The reform had no impact because lawmakers rejected it.,"Even though the reform did not survive as legislation, its ideas continued to shape debate.",The reform’s supporters cared more about style than policy.,C,"Choice C is best because “failed legislatively” means it did not endure as law, while “succeeded rhetorically” means its language and ideas kept influencing later discussion. The sentence contrasts legal failure with lasting conceptual impact."
V2-RW-021,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,7,A student is revising the following sentence: “The team tested the prototype in cold weather. It then tested the prototype in heavy rain.” Which choice most effectively combines the sentences?,"The team tested the prototype in cold weather, and it also, in heavy rain, tested it.",The prototype was tested by the team in cold weather and then in heavy rain.,"Cold weather was one condition, but heavy rain had also been a condition of testing by the team.","In cold weather, the team tested the prototype, then heavy rain was another test.",B,"Choice B is best because it combines the ideas clearly and concisely while preserving the original meaning. The other choices are awkward, wordy, or grammatically weak."
V2-RW-022,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,8,A paragraph argues that neighborhood libraries serve not only as places to borrow books but also as community hubs. Which sentence would best support that claim?,Many libraries still organize books using the Dewey Decimal System.,"At one branch, weekly job-search workshops and after-school tutoring sessions regularly fill the meeting rooms.",Library buildings vary widely in age and architectural style.,Some readers prefer digital books to printed books.,B,"Choice B is best because it provides concrete examples of libraries functioning as community gathering and service spaces, directly supporting the claim. The other choices are true-sounding details but do not support that point."
V2-RW-023,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,8,"A writer wants to emphasize the contrast between two findings. Which transition best completes the sentence?
“Early trials showed that the coating reduced glare on indoor screens. ______, later tests found that the same coating slightly reduced outdoor visibility.”","For example,","Similarly,","However,","Therefore,",C,"Choice C is best because the sentence contrasts a benefit indoors with a drawback outdoors. “However” clearly signals that contrast. The other transitions indicate example, similarity, or result rather than opposition."
V2-RW-024,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,9,"A student’s notes say:
• The festival began in 1984.
• It was first held in the town square.
• Attendance doubled after food vendors were added in 1987.
Which choice most effectively uses relevant information from the notes to introduce the festival’s early growth?",The festival began in 1984 and had many visitors.,"First held in the town square in 1984, the festival expanded quickly, with attendance doubling after food vendors were added in 1987.",Food vendors are often popular features at festivals in many towns.,The town square was an important public space in the 1980s.,B,Choice B is best because it accurately combines the most relevant notes and directly highlights early growth. The other choices are vague or include only partial information.
V2-RW-025,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,7,A paragraph about a marine research project includes the sentence “The team also painted the lab walls blue.” The paragraph otherwise focuses on equipment calibration and data collection procedures. Which choice best describes what the writer should do with the sentence?,Keep it because it adds a vivid sensory detail related to marine life.,Keep it because it explains why the project’s measurements were accurate.,Delete it because it does not contribute to the paragraph’s focus on research methods.,Delete it because no paragraph should include visual description.,C,Choice C is best because the sentence about wall color is unrelated to the paragraph’s focus on calibration and data collection. Effective revision keeps only details that advance the paragraph’s purpose.
V2-RW-026,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,8,A writer wants to conclude a paragraph arguing that bike lanes improve city life. Which sentence would be the most effective concluding sentence?,Bike lanes were first introduced in several European cities decades ago.,"In many cities, bike lanes are painted green or white.","By making streets safer and commuting more practical, bike lanes can benefit residents well beyond daily cyclists.",Some people enjoy biking on weekends in parks.,C,Choice C is best because it synthesizes the paragraph’s argument and broadens its significance in a logical concluding way. The other choices are background details or off-topic observations rather than conclusions.
V2-RW-027,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,8,"A student wants to improve the clarity of this sentence: “The device, which was released after years of testing by engineers in several countries, many of whom specialized in battery chemistry, changed the market quickly.” Which revision is most effective?","After years of testing by engineers in several countries, many specializing in battery chemistry, the device was released and quickly changed the market.",The device changed the market quickly by engineers in several countries after years of testing.,Engineers in several countries changed the market quickly with the device and battery chemistry.,"Released and by engineers in several countries after years of testing, the device changed the market quickly.",A,Choice A is best because it keeps all the important information while reducing clutter and making the sentence easier to follow. The other choices are awkward or grammatically flawed.
V2-RW-028,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,9,A writer wants to make this comparison more precise: “The new processor is better than the old one.” Which revision best achieves that goal?,The new processor is really much better than the old one.,"Compared with the previous model, the new processor completes complex image-rendering tasks 30% faster.",The new processor is better because it is newer.,"The processor is, in every possible way, better than the old one.",B,"Choice B is best because it replaces a vague comparison with a specific, measurable one. Precision strengthens writing by giving readers clear evidence rather than unsupported generalities."
V2-RW-029,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,9,"A draft paragraph begins by describing the popularity of rooftop gardens, then explains how they reduce runoff and insulate buildings, and finally mentions that some cities offer grants to install them. Where would the sentence “Because of these practical benefits, some cities now subsidize rooftop garden projects” fit best?",At the very beginning of the paragraph,After the sentence describing the gardens’ popularity,After the sentence explaining runoff reduction and insulation,"At the very end, after a sentence about unrelated balcony planters",C,"Choice C is best because “these practical benefits” clearly refers to the just-mentioned advantages, such as reduced runoff and insulation. Placing the sentence there creates a logical cause-and-effect progression."
V2-RW-030,SAT Harder Volume 2,Reading and Writing,Expression of Ideas,MCQ,10,"A student is writing about an inventor. The student wants to emphasize that the inventor’s success depended on collaboration, not solitary genius. Which sentence would best accomplish that goal?",The inventor often worked late into the night refining designs.,"Although the inventor is often celebrated as a lone visionary, archived correspondence shows that machinists, investors, and fellow experimenters all shaped the final product.",The inventor became famous after a demonstration in the capital city.,Many inventors in the nineteenth century sought patents for their work.,B,"Choice B is best because it directly challenges the “lone visionary” idea and provides specific evidence of collaboration. The other choices may be relevant background, but they do not make the intended point."
V2-RW-031,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,7,"The researchers published their findings, and the journal editor ______ an accompanying commentary the same week.",write,writes,wrote,writing,C,"Choice C is best because the sentence describes completed past actions (“published”), so the verb should also be in the simple past: “wrote.”"
V2-RW-032,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,8,"The sculpture, along with several preparatory sketches, ______ to a private collector in 1928.",was sold,were sold,have been sold,sell,A,"Choice A is best because the subject is singular, “The sculpture.” The phrase “along with several preparatory sketches” does not change the subject’s number, so the singular verb “was sold” is required."
V2-RW-033,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,8,"To prepare for the presentation, Maya reviewed the budget figures, revised the slide deck, ______.",and the talking points were reorganized by her,and reorganized the talking points,reorganizing the talking points,the talking points had been reorganized,B,"Choice B is best because it maintains parallel structure: “reviewed,” “revised,” and “reorganized” are all past-tense verbs in the same series."
V2-RW-034,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,9,"The trail climbed steadily for three miles, ______ the hikers reached the ridge before sunset.",therefore,and,so,which,C,"Choice C is best because the sentence needs a coordinating idea showing result: “so the hikers reached the ridge before sunset.” “Therefore” would require different punctuation, and “which” creates a fragment."
V2-RW-035,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,8,Neither the assistant coaches nor the head trainer ______ willing to shorten the recovery program.,were,are,was,be,C,"Choice C is best because with “neither...nor,” the verb agrees with the nearer subject. The nearer subject is singular—“the head trainer”—so the correct verb is “was.”"
V2-RW-036,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,9,"The committee praised the proposal for its clarity; ______, several members questioned its cost assumptions.",for example,however,in addition,as a result,B,Choice B is best because the second clause contrasts with the first. A semicolon followed by the conjunctive adverb “however” correctly signals that contrast.
V2-RW-037,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,7,"The novelist is known for characters who speak in clipped, elliptical sentences; this style gives the dialogue ______ distinct tension.",its,it’s,their,they’re,A,"Choice A is best because the possessive pronoun “its” correctly refers to “the dialogue.” “It’s” means “it is,” and the plural pronouns do not agree with the singular noun."
V2-RW-038,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,8,"By the time the guests arrived, the chef ______ the sauce for nearly three hours.",simmered,had simmered,had been simmering,is simmering,C,Choice C is best because the action was ongoing up to a point in the past (“By the time the guests arrived”). Past perfect progressive best captures that ongoing earlier action.
V2-RW-039,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,9,"The archive contains maps from Peru, Kenya, and Nepal; journals from two polar expeditions; ______.",and audio recordings of whale calls,audio recordings of whale calls,and there are audio recordings of whale calls,with audio recordings of whale calls,B,Choice B is best because the sentence presents a parallel series of noun phrases after the colon-like semicolon structure. “Audio recordings of whale calls” matches the structure of the previous items without unnecessary wording.
V2-RW-040,SAT Harder Volume 2,Reading and Writing,Standard English Conventions,MCQ,10,"The policy was intended to reduce congestion, improve air quality, and ______ access to public transit in underserved neighborhoods.",expanding,to expand,expand,expanded,C,"Choice C is best because the sentence contains a parallel series after “to”: “reduce,” “improve,” and “expand.” The base verb “expand” maintains that parallel structure."
V2-M-001,SAT Harder Volume 2,Math,Algebra,MCQ,8,"If (3/4)x - 5 = (1/2)(x + 6), what is the value of x?",24,28,32,36,C,"Expand the right side to get (1/2)x + 3. Then subtract (1/2)x from both sides: (1/4)x − 5 = 3. Add 5 to get (1/4)x = 8, so x = 32."
V2-M-002,SAT Harder Volume 2,Math,Algebra,MCQ,9,For what value of k does the system y = 4x - 7 and 2y = 8x + k have infinitely many solutions?,-14,-7,7,14,A,"For infinitely many solutions, the two equations must be equivalent. Multiply the first equation by 2 to get 2y = 8x − 14. Therefore k = −14."
V2-M-003,SAT Harder Volume 2,Math,Algebra,MCQ,9,"Which equation represents the line through (2, -1) that is parallel to the line 5x + 2y = 14 ?",5x + 2y = 8,5x + 2y = 14,2x + 5y = -1,5x - 2y = 12,A,"A line parallel to 5x + 2y = 14 must have the same x- and y-coefficients, so it has form 5x + 2y = c. Substitute (2, −1): 5(2) + 2(−1) = 10 − 2 = 8, so the equation is 5x + 2y = 8."
V2-M-004,SAT Harder Volume 2,Math,Algebra,MCQ,8,"A streaming service charges a monthly fee modeled by C = 12 + 2.5m, where m is the number of movies rented that month. Which statement is correct?",The service costs $2.50 per month plus $12 per movie.,The service costs $12 per month and $2.50 per movie.,The service costs $14.50 each month regardless of movies rented.,The service gives 12 free movies and then charges $2.50 per month.,B,"In C = 12 + 2.5m, the constant term 12 is the fixed monthly fee, and the coefficient 2.5 is the additional cost per movie rented."
V2-M-005,SAT Harder Volume 2,Math,Algebra,MCQ,9,Which inequality is equivalent to (2x - 3)/5 ≤ (x + 4)/2 ?,x ≤ -26,x ≥ -26,x ≤ 26,x ≥ 26,B,"Multiply both sides by 10 to clear denominators: 2(2x − 3) ≤ 5(x + 4). This gives 4x − 6 ≤ 5x + 20. Subtract 4x: −6 ≤ x + 20. Subtract 20: −26 ≤ x, so x ≥ −26."
V2-M-006,SAT Harder Volume 2,Math,Algebra,MCQ,10,The equation 3(x - 2) + 5 = 3x + t has infinitely many solutions for what value of t ?,-2,-1,1,5,B,"Simplify the left side: 3x − 6 + 5 = 3x − 1. For infinitely many solutions, both sides must be identical, so 3x − 1 = 3x + t requires t = −1."
V2-M-007,SAT Harder Volume 2,Math,Algebra,MCQ,9,What is the value of y in the solution to the system 2x + 3y = 17 and x - y = 1 ?,2,3,4,5,B,"From x − y = 1, we get x = y + 1. Substitute into 2x + 3y = 17: 2(y + 1) + 3y = 17, so 5y + 2 = 17. Then 5y = 15, so y = 3."
V2-M-008,SAT Harder Volume 2,Math,Algebra,MCQ,8,"For a linear function f, f(1) = 9 and f(5) = 1. What is the value of f(8)?",-3,-5,-7,-9,B,"The slope is (1 − 9)/(5 − 1) = −8/4 = −2. So the function decreases by 2 for each increase of 1 in x. From x = 5 to x = 8 is 3 steps, so f(8) = 1 − 2(3) = −5."
V2-M-009,SAT Harder Volume 2,Math,Algebra,SPR,9,What is the x-coordinate of the solution to the system y = (3/2)x + 1 and y = -x + 11 ?,,,,,4,"Set the expressions equal: (3/2)x + 1 = −x + 11. Add x to both sides: (5/2)x + 1 = 11. Then (5/2)x = 10, so x = 4."
V2-M-010,SAT Harder Volume 2,Math,Algebra,MCQ,10,How many real solutions does the equation |2x - 5| = 9 have?,0,1,2,Infinitely many,C,"An absolute value equation |expression| = positive number can have two solutions. Here 2x − 5 = 9 or 2x − 5 = −9. Those give x = 7 and x = −2, so there are 2 real solutions."
V2-M-011,SAT Harder Volume 2,Math,Advanced Math,MCQ,9,For what value of k does the equation x^2 - 6x + k = 0 have exactly one real solution?,6,8,9,12,C,"A quadratic has exactly one real solution when its discriminant is 0. For x^2 − 6x + k = 0, the discriminant is b^2 − 4ac = 36 − 4k. Set 36 − 4k = 0 to get k = 9."
V2-M-012,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,Which expression is equivalent to (x^2 - 25)/(x - 5) for x ≠ 5 ?,x - 5,x + 5,x^2 + 5,x + 20,B,"Factor the numerator as a difference of squares: x^2 − 25 = (x − 5)(x + 5). For x ≠ 5, the factor x − 5 cancels, leaving x + 5."
V2-M-013,SAT Harder Volume 2,Math,Advanced Math,MCQ,9,"If 2^(x+1) = 32, what is the value of x?",3,4,5,6,B,"Because 32 = 2^5, we set x + 1 = 5. Therefore x = 4."
V2-M-014,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,What is the minimum value of the function f(x) = x^2 - 8x + 19 ?,1,2,3,4,C,"Complete the square: x^2 − 8x + 19 = (x − 4)^2 + 3. Since (x − 4)^2 ≥ 0, the minimum value is 3."
V2-M-015,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,"If x + 1/x = 4, what is the value of x^2 + 1/x^2 ?",12,14,16,18,B,Square both sides: (x + 1/x)^2 = x^2 + 2 + 1/x^2 = 16. So x^2 + 1/x^2 = 16 − 2 = 14.
V2-M-016,SAT Harder Volume 2,Math,Advanced Math,MCQ,9,"For the polynomial p(x) = x^2 - 5x - 24, which value of x is a zero of p ?",-3,-4,4,6,A,"Factor the polynomial: x^2 − 5x − 24 = (x − 8)(x + 3). The zeros are 8 and −3, so among the choices the correct value is −3."
V2-M-017,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,The graph of y = (x - 2)^2 - 7 is obtained by shifting the graph of y = x^2,2 units left and 7 units up,2 units right and 7 units down,2 units right and 7 units up,2 units left and 7 units down,B,"In vertex form y = (x − h)^2 + k, the graph shifts h units right and k units vertically. Here h = 2 and k = −7, so the graph shifts 2 units right and 7 units down."
V2-M-018,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,"If f(x) = 3x - 2 and g(x) = x^2, what is the value of g(f(4)) ?",10,36,100,196,C,First compute f(4) = 3(4) − 2 = 10. Then apply g: g(10) = 10^2 = 100.
V2-M-019,SAT Harder Volume 2,Math,Advanced Math,SPR,9,"If x^2 - 7x + 10 = 0, what is the larger solution?",,,,,5,"Factor the quadratic: x^2 − 7x + 10 = (x − 5)(x − 2). The solutions are 5 and 2, so the larger solution is 5."
V2-M-020,SAT Harder Volume 2,Math,Advanced Math,SPR,10,"If h(x) = 2x^2 + x - 3, what is the value of h(-1)?",,,,,-2,Substitute x = −1: h(−1) = 2(1) + (−1) − 3 = 2 − 1 − 3 = −2.
V2-M-021,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,9,Class A has 20 students with a mean test score of 78. Class B has 30 students with a mean test score of 84. What is the combined mean score for all 50 students?,80.4,81.6,82.0,82.8,B,"Convert each mean to a total: Class A total = 20 × 78 = 1,560 and Class B total = 30 × 84 = 2,520. Combined total = 4,080. Divide by 50 students: 4,080/50 = 81.6."
V2-M-022,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,9,"A recipe uses flour and sugar in a ratio of 5:2. If 3 more cups of sugar are added while the flour amount stays the same, the new ratio becomes 5:3. How many cups of flour were used originally?",5,10,15,25,C,"Let the original amounts be 5k and 2k. After adding 3 cups of sugar, the ratio becomes 5k : (2k + 3) = 5 : 3. So 3(5k) = 5(2k + 3), giving 15k = 10k + 15, so k = 3. The original flour amount is 5k = 15 cups."
V2-M-023,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,9,"The median of the five numbers 4, 7, 9, 13, and x is 8. Which of the following could be the value of x ?",5,6,8,10,C,"For five numbers, the median is the third value after the numbers are ordered. If x = 8, the ordered list is 4, 7, 8, 9, 13, and the median is 8. The other choices produce a different middle value."
V2-M-024,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,10,A jacket’s price is reduced by 30% and then the sale price is reduced by an additional 20%. What is the final price of a $100 jacket?,$50,$56,$60,$70,B,"After a 30% reduction, the price is 100 × 0.70 = $70. After another 20% reduction, the price is 70 × 0.80 = $56."
V2-M-025,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,9,"At a conference, 40% of attendees are students. Of the students, 35% are first-year students. What percent of all attendees are first-year students?",14%,25%,35%,75%,A,Multiply the conditional percent by the overall percent: 0.40 × 0.35 = 0.14 = 14%.
V2-M-026,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,10,"A car travels 150 miles using 5 gallons of fuel. At the same rate, how many gallons are needed for a 420-mile trip?",10,12,14,16,C,"The car uses 5/150 = 1/30 gallon per mile. For 420 miles, it uses 420/30 = 14 gallons."
V2-M-027,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,10,"A line of best fit for a data set is y = 1.8x + 12, where x is hours studied and y is predicted test score. According to the model, what score is predicted for a student who studies 10 hours?",28,30,30.8,31.8,B,Substitute x = 10 into the model: y = 1.8(10) + 12 = 18 + 12 = 30.
V2-M-028,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,10,"A town’s population increased from 18,000 to 19,260 in one year. What was the percent increase?",6%,7%,7.5%,8%,B,"The increase was 19,260 − 18,000 = 1,260. Divide by the original population: 1,260 / 18,000 = 0.07 = 7%."
