question_id,volume,section,domain,response_format,difficulty_1_10,question_text,your_answer,choice_A,choice_B,choice_C,choice_D
V2-M-016,SAT Harder Volume 2,Math,Advanced Math,MCQ,9,"For the polynomial p(x) = x^2 - 5x - 24, which value of x is a zero of p ?",,-3,-4,4,6
V2-M-017,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,The graph of y = (x - 2)^2 - 7 is obtained by shifting the graph of y = x^2,,2 units left and 7 units up,2 units right and 7 units down,2 units right and 7 units up,2 units left and 7 units down
V2-M-018,SAT Harder Volume 2,Math,Advanced Math,MCQ,10,"If f(x) = 3x - 2 and g(x) = x^2, what is the value of g(f(4)) ?",,10,36,100,196
V2-M-019,SAT Harder Volume 2,Math,Advanced Math,SPR,9,"If x^2 - 7x + 10 = 0, what is the larger solution?",,,,,
V2-M-020,SAT Harder Volume 2,Math,Advanced Math,SPR,10,"If h(x) = 2x^2 + x - 3, what is the value of h(-1)?",,,,,
V2-M-021,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,9,Class A has 20 students with a mean test score of 78. Class B has 30 students with a mean test score of 84. What is the combined mean score for all 50 students?,,80.4,81.6,82.0,82.8
V2-M-022,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,9,"A recipe uses flour and sugar in a ratio of 5:2. If 3 more cups of sugar are added while the flour amount stays the same, the new ratio becomes 5:3. How many cups of flour were used originally?",,5,10,15,25
V2-M-023,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,9,"The median of the five numbers 4, 7, 9, 13, and x is 8. Which of the following could be the value of x ?",,5,6,8,10
V2-M-024,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,10,A jacket’s price is reduced by 30% and then the sale price is reduced by an additional 20%. What is the final price of a $100 jacket?,,$50,$56,$60,$70
V2-M-025,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,9,"At a conference, 40% of attendees are students. Of the students, 35% are first-year students. What percent of all attendees are first-year students?",,14%,25%,35%,75%
V2-M-026,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,10,"A car travels 150 miles using 5 gallons of fuel. At the same rate, how many gallons are needed for a 420-mile trip?",,10,12,14,16
V2-M-027,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,10,"A line of best fit for a data set is y = 1.8x + 12, where x is hours studied and y is predicted test score. According to the model, what score is predicted for a student who studies 10 hours?",,28,30,30.8,31.8
V2-M-028,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,MCQ,10,"A town’s population increased from 18,000 to 19,260 in one year. What was the percent increase?",,6%,7%,7.5%,8%
V2-M-029,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,SPR,9,"A bag contains red and blue tiles in a ratio of 7:5. If there are 48 tiles total, how many are red?",,,,,
V2-M-030,SAT Harder Volume 2,Math,Problem-Solving and Data Analysis,SPR,10,"The five test scores 72, 81, x, 94, and 96 have a mean of 85. What is the value of x?",,,,,
V2-M-031,SAT Harder Volume 2,Math,Geometry and Trigonometry,MCQ,9,"What is the distance between the points (-2, 5) and (4, -3) in the xy-plane?",,8,10,2√17,4√5
V2-M-032,SAT Harder Volume 2,Math,Geometry and Trigonometry,MCQ,9,A circle has radius 6. What is the length of an arc with central angle 120° ?,,2π,4π,6π,8π
V2-M-033,SAT Harder Volume 2,Math,Geometry and Trigonometry,MCQ,10,"What is the slope of a line perpendicular to the line through (1, 2) and (5, 10) ?",,-2,-1/2,1/2,2
V2-M-034,SAT Harder Volume 2,Math,Geometry and Trigonometry,MCQ,10,"In triangle ABC, angle A measures 48° and angle B is twice angle C. What is the measure of angle C ?",,36°,44°,48°,66°
V2-M-035,SAT Harder Volume 2,Math,Geometry and Trigonometry,MCQ,9,A rectangle has diagonal length 13 and width 5. What is its length?,,8,10,12,14
V2-M-036,SAT Harder Volume 2,Math,Geometry and Trigonometry,MCQ,10,A cylinder has radius 4 and height 9. What is its volume?,,36π,72π,108π,144π
V2-M-037,SAT Harder Volume 2,Math,Geometry and Trigonometry,MCQ,10,"In a 30°-60°-90° triangle, the longer leg has length 6√3. What is the length of the shorter leg?",,3,6,9,12
V2-M-038,SAT Harder Volume 2,Math,Geometry and Trigonometry,MCQ,10,The equation of a circle is (x + 3)^2 + (y - 4)^2 = 81. What are the coordinates of the center of the circle?,,"(-3, 4)","(3, -4)","(-3, -4)","(3, 4)"
V2-M-039,SAT Harder Volume 2,Math,Geometry and Trigonometry,SPR,9,"A triangle has side lengths 7, 24, and x and is a right triangle. What is the value of x if x is the longest side?",,,,,
V2-M-040,SAT Harder Volume 2,Math,Geometry and Trigonometry,SPR,10,A 90° sector of a circle has arc length 6π. What is the radius of the circle?,,,,,
