question_id,section,domain,skill,difficulty_1_10,correct_answer,correct_choice_text,explanation,common_trap,primary_error_tag,secondary_error_tag
RW-012,Reading and Writing,Craft and Structure,Function of sentence,7,A,It offers an example explaining how desert plants survive.,"The second sentence explains one mechanism—opening stomata at night—that helps desert plants survive, so it serves as an explanatory example.",Choice B is wrong because the second sentence supports rather than opposes the first.,function,support_vs_counter
RW-013,Reading and Writing,Craft and Structure,Text structure,7,A,"A proposal is presented, challenged, and then modified.","The text moves from original plan to objections to revision, so it presents, challenges, and modifies a proposal.","Choice C introduces experimentation, which the description does not mention.",text_structure,sequence
RW-014,Reading and Writing,Craft and Structure,Paired texts,8,B,"Text 1 presents a potential benefit of four-day workweeks, while Text 2 identifies a practical limitation.","Text 1 emphasizes a benefit, while Text 2 points out a context in which implementation is difficult.",Choice A reverses Text 1's claim.,paired_texts,compare_contrast
RW-015,Reading and Writing,Craft and Structure,Words in context,7,A,softened,"In context, the editor moderated or softened her criticism by acknowledging strengths first.",Choice C is the opposite of the contextual meaning.,vocab_in_context,opposite_choice
RW-016,Reading and Writing,Craft and Structure,Author's purpose,7,B,emphasize the river's symbolic and historical importance to the town,The quotation elevates the river beyond geography and underscores its importance to the town's identity and history.,Choice A mistakes a symbolic remark for technical evidence.,purpose,figurative_language
RW-017,Reading and Writing,Craft and Structure,Tone / implication,6,C,It is overly explicit and therefore less intriguing.,"The critic says the ending explains itself too much, leaving little room for mystery, so it is overly explicit and less intriguing.",Choice B says the opposite of the critic's complaint.,tone,paraphrase
RW-018,Reading and Writing,Craft and Structure,Transition of idea,7,B,however,"The second sentence contrasts with the earlier belief, so 'however' is the most logical transition.","Choice A introduces an example, not a contrast.",transition_logic,logical_relationship
RW-019,Reading and Writing,Craft and Structure,Paired texts disagreement,8,C,Whether plantings in medians should be expanded broadly,"The botanist supports planting wildflowers in medians, while the transportation official argues such plantings should be limited because of visibility concerns.","Choice A is less clearly disputed; the official's concern is visibility, not pollinator biology.",paired_texts,disagreement
RW-020,Reading and Writing,Craft and Structure,Interpretive nuance,7,A,broad,"In context, 'sweeping conclusions' means broad or far-reaching conclusions.","Choice B may sound plausible, but the phrase specifically emphasizes scope.",vocab_in_context,idiom
RW-021,Reading and Writing,Expression of Ideas,Transitions,6,C,"Moreover,","The second sentence adds another advantage of the sensor, so 'Moreover' is the best transition.","Choice A implies similarity, but the relationship is additive.",transition,additive_logic
RW-022,Reading and Writing,Expression of Ideas,Sentence placement,7,C,After sentence 2,Sentence 3 gives the prior condition—access only in person—so placing it after sentence 2 sets up sentence 4's result clearly.,Choice B disrupts the flow before the digitization project's benefits are introduced.,sentence_placement,paragraph_coherence
RW-023,Reading and Writing,Expression of Ideas,Combining sentences,7,A,"The composer revised the score several times, and the final version was shorter and more rhythmically complex.",Choice A is grammatically correct and preserves both ideas clearly and concisely.,Choice B creates a dangling phrase without a clear verb structure.,combining_sentences,grammar_clarity
RW-024,Reading and Writing,Expression of Ideas,Using notes,7,B,"Since 1987, the solar car race has served as a proving ground where engineers test lightweight materials and battery systems that can later influence commercial vehicle design.",Choice B best emphasizes the race as a testing ground by focusing on engineers testing materials and battery systems that later affect commercial design.,Choice A is accurate but does not focus on innovation or testing value.,use_notes,goal_alignment
RW-025,Reading and Writing,Expression of Ideas,Topic sentence,6,C,The city's new rain gardens provide several environmental benefits.,"The paragraph describes multiple benefits, so the best topic sentence introduces those benefits broadly.",Choice A is too general and does not preview the paragraph's specific focus.,topic_sentence,scope_match
RW-026,Reading and Writing,Expression of Ideas,Logical order,7,A,"1, 2, 3, 4",The actions proceed logically from testing to revision to construction/monitoring to opening.,"Choice B places monitoring after full construction before revision, which is illogical.",logical_order,chronology
RW-027,Reading and Writing,Expression of Ideas,Concluding sentence,7,B,These efforts have made it easier for more students to experience live performance as part of their education.,Choice B synthesizes the paragraph's details into a clear concluding idea about broader student access.,Choice A adds background rather than concluding the paragraph's main point.,conclusion,synthesis
RW-028,Reading and Writing,Expression of Ideas,Integrating quantitative information,8,A,"The plants grew tallest in medium light, slightly taller than in high light.","The highest average height is 19 cm in medium light, compared with 18 cm in high light and 12 cm in low light.",Choice B is wrong because height dips slightly from medium to high light.,data_integration,trend_misread
RW-029,Reading and Writing,Expression of Ideas,Precision and concision,6,A,The company announced plans to relocate its headquarters to a new downtown building.,Choice A removes the redundant phrase 'located in the downtown area' while keeping the meaning clear.,Choice D is wordy and repeats the same idea.,concision,redundancy
RW-030,Reading and Writing,Expression of Ideas,Relevant support,7,B,"In one neighborhood, residents who worked in a shared garden later organized additional cleanup projects and block events.",Choice B directly supports the claim by showing how a shared garden encouraged broader community engagement.,Choice D mentions other projects but does not specifically support the claim about gardens.,supporting_detail,evidence_relevance
RW-031,Reading and Writing,Standard English Conventions,Punctuation,6,B,"The robotics team won the regional competition; however, it still needed to raise money for the national event.",Two independent clauses joined by the conjunctive adverb 'however' require a semicolon before 'however' and a comma after it.,Choice A leaves a comma splice.,punctuation,comma_splice
RW-032,Reading and Writing,Standard English Conventions,Subject-verb agreement,6,C,is,"The subject is 'A list,' which is singular, so the correct verb is 'is.'",Choice A incorrectly matches the plural noun 'supplies' instead of the singular subject 'list.',subject_verb_agreement,interrupter_phrase
RW-033,Reading and Writing,Standard English Conventions,Pronoun clarity,7,B,"After the debate, Maya told Elena that the moderator's final question had been the most difficult.",Choice B makes it clear that Maya is the one speaking to Elena.,Choice C still leaves 'she' ambiguous.,pronoun_clarity,ambiguous_pronoun
RW-034,Reading and Writing,Standard English Conventions,Modifier placement,7,B,"As the hikers ran down the trail, the rain began to fall more heavily around them.",The original sentence has a dangling modifier implying that the rain was running down the trail. Choice B correctly attaches the action to the hikers.,Choice A keeps the dangling modifier.,modifier_placement,dangling_modifier
RW-035,Reading and Writing,Standard English Conventions,Verb tense,6,B,performed; commissioned,"'Last year' sets the sentence in the past, so both verbs should be in the simple past tense: 'performed' and 'commissioned.'",Choice A uses present tense despite the past-time marker.,tense_consistency,time_marker
RW-036,Reading and Writing,Standard English Conventions,Possessives,6,B,editors',"The offices belong to two editors, so the plural possessive form 'editors'' is correct.","Choice C is singular possessive, not plural possessive.",possessives,apostrophe
RW-037,Reading and Writing,Standard English Conventions,Colon usage,7,B,:,A colon correctly introduces the list that follows an independent clause.,Choice C would create an incorrect splice before the list.,punctuation,colon
RW-038,Reading and Writing,Standard English Conventions,Sentence boundaries,7,B,"The manuscript was incomplete, with several pages missing from the final chapter.",Choice B combines the ideas smoothly without creating a comma splice.,Choice A incorrectly joins two independent clauses with only a comma.,sentence_boundaries,runon
RW-039,Reading and Writing,Standard English Conventions,Parallel structure,7,C,"improve her presentation style, and gain confidence in meetings","The series should be parallel with three infinitive-style ideas after 'helped Ana': develop, improve, and gain.",Choice A breaks the parallel structure.,parallel_structure,series_balance
RW-040,Reading and Writing,Standard English Conventions,Nonessential punctuation,8,A,"The novel, published in 1928 and rediscovered decades later, has recently been adapted for television.",The phrase 'published in 1928 and rediscovered decades later' is nonessential and should be enclosed with a matching pair of commas.,"Choice C has only one comma, so the nonessential phrase is not correctly set off.",nonessential_elements,comma_pair
M-041,Math,Algebra,Solve linear equation,5,A,x = 11,"Expand: 6x - 15 = 4x + 7. Subtract 4x: 2x - 15 = 7. Add 15: 2x = 22, so x = 11.","For choice B, a common mistake is adding 15 incorrectly.",algebra_steps,linear_equation
M-042,Math,Algebra,Systems of equations,6,C,40,"Let s be student tickets and a be adult tickets. Then s + a = 84 and 6s + 10a = 664. Substitute s = 84 - a: 6(84 - a) + 10a = 664. This gives 504 - 6a + 10a = 664, so 4a = 160 and a = 40.",A common error is subtracting 504 from 664 incorrectly or forgetting to divide by 4.,system_setup,substitution
M-043,Math,Algebra,Linear function from table,6,A,f(x) = 3x + 4,"As x increases by 2, f(x) increases by 6, so the slope is 3. Using point (1,7): 7 = 3(1) + b, so b = 4. Therefore f(x) = 3x + 4.",Choice B uses the correct y-intercept from the first point only if the slope is misread.,slope_from_table,linear_model
M-044,Math,Algebra,Solve inequality,6,B,x < -3,Subtract 5 from both sides: -2x > 6. Divide by -2 and reverse the inequality: x < -3.,The common trap is forgetting to reverse the inequality when dividing by a negative number.,inequality_sign,linear_inequality
M-045,Math,Algebra,Rearranging formulas,6,B,W = (P - 2L)/2,"Subtract 2L from both sides to get P - 2L = 2W, then divide by 2: W = (P - 2L)/2.","Choice C does not simplify correctly from the formula because P/2 - L/2 equals (P - L)/2, not (P - 2L)/2.",formula_rearrangement,isolation
M-046,Math,Algebra,Linear relationship,7,B,3,Slope = (11 - (-1)) / (6 - 2) = 12/4 = 3.,Choice C comes from dividing 12 by 3 instead of by 4.,slope,coordinate_plane
M-047,Math,Algebra,Equation of a line,7,A,y = -2x + 11,"Use y = mx + b with m = -2. Substitute point (4,3): 3 = -2(4) + b = -8 + b, so b = 11. Thus y = -2x + 11.",Choice B uses the correct slope but wrong intercept.,point_slope,line_equation
M-048,Math,Algebra,Systems classification,7,D,Infinitely many,"Rewrite the second equation: 6x - 2y = -4 -> divide by -2 gives y = 3x + 2. The equations represent the same line, so there are infinitely many solutions.",Choice B would be correct only if the lines had different slopes.,system_classification,equivalent_equations
M-049,Math,Algebra,Function notation,5,A,13,Substitute x = 5: f(5) = 4(5) - 7 = 20 - 7 = 13.,Choice B comes from forgetting to subtract 7.,function_notation,substitution
M-050,Math,Algebra,Word problem,7,B,C = 18m + 25,"The one-time fee is the constant term 25, and the monthly cost is 18 multiplied by the number of months m.",Choice A reverses the roles of the constant fee and the monthly rate.,modeling,linear_word_problem
M-051,Math,Advanced Math,Quadratic factorization,6,B,x = 2 and x = 3,Factor: x^2 - 5x + 6 = (x - 2)(x - 3). Setting each factor to zero gives x = 2 and x = 3.,"Choice C uses numbers that multiply to 6 but add to 7, not 5.",quadratic_factoring,roots
M-052,Math,Advanced Math,Vertex form,7,A,(x - 3)^2 + 4,Complete the square: x^2 - 6x + 13 = x^2 - 6x + 9 + 4 = (x - 3)^2 + 4.,"Choice B forgets that adding 9 requires adjusting with +4, not -4.",complete_the_square,vertex_form
M-053,Math,Advanced Math,Exponential growth,7,C,960,"Nine hours is three doubling periods, so multiply by 2^3 = 8. Then 120 × 8 = 960.",Choice D comes from mistakenly treating 9 hours as four doubling periods.,exponential_growth,repeated_multiplication
M-054,Math,Advanced Math,Polynomial operations,7,A,2x^2 + 7x - 15,"Multiply each term: 2x·x = 2x^2, 2x·5 = 10x, -3·x = -3x, and -3·5 = -15. Combine like terms: 2x^2 + 7x - 15.",Choice B forgets to combine the middle terms correctly.,polynomial_multiplication,FOIL
M-055,Math,Advanced Math,Rational equations,8,A,x = 2,"Cross-multiply: 3(x + 6) = 12x. Then 3x + 18 = 12x, so 18 = 9x and x = 2. This value is allowed because x cannot be 0 or -6.",A common mistake is to forget the restricted values or to subtract 3x incorrectly.,cross_multiplication,restricted_values
M-056,Math,Advanced Math,Radical equations,8,C,7,"Because the right side must be nonnegative, x ≥ 3. Square both sides: x + 9 = (x - 3)^2 = x^2 - 6x + 9. Rearranging gives x^2 - 7x = 0, so x = 0 or x = 7. Only x = 7 checks in the original equation.",A common mistake is keeping x = 0 without checking for an extraneous solution after squaring.,radical_equation,extraneous_solution
M-057,Math,Advanced Math,Quadratic modeling,8,B,6,"Let the width be w, so the length is w + 2. Then w(w + 2) = 48, so w^2 + 2w - 48 = 0. Factor: (w + 8)(w - 6) = 0, giving w = 6 or w = -8. Width must be positive, so the width is 6.",Choice A comes from using a sum of 48 instead of a product of 48.,quadratic_modeling,positive_constraint
M-058,Math,Advanced Math,Function composition,8,C,19,First compute g(3) = 3^2 = 9. Then f(9) = 2(9) + 1 = 19.,Choice D can result from composing in the wrong order and computing g(f(3)).,function_composition,order_of_operations
M-059,Math,Advanced Math,Equivalent expressions,7,B,x + 3,"Factor the numerator: x^2 - 9 = (x - 3)(x + 3). For x ≠ 3, the expression simplifies to x + 3.",Choice A comes from subtracting instead of factoring the difference of squares correctly.,rational_simplification,factoring
M-060,Math,Advanced Math,Exponential equation,8,B,4,"Since 32 = 2^5, set x + 1 = 5. Therefore x = 4.",Choice C comes from matching x directly to the exponent on 32 without accounting for +1.,exponent_rules,solving_exponential
M-061,Math,Problem-Solving and Data Analysis,Mean,5,C,21,"If the average of five numbers is 18, their total is 5 × 18 = 90. The four known numbers sum to 69, so the fifth number is 90 - 69 = 21.",Choice D can come from adding instead of subtracting.,mean,arithmetic
M-062,Math,Problem-Solving and Data Analysis,Probability,6,A,3/10,"There are 10 marbles total, and 3 of them are blue, so the probability is 3/10.",Choice C uses the blue marbles over only red-plus-blue marbles instead of all marbles.,probability,sample_space
M-063,Math,Problem-Solving and Data Analysis,Ratios,6,B,6,"If 5 parts of flour correspond to 15 cups, then each part is 3 cups. Sugar is 2 parts, so 2 × 3 = 6 cups.",Choice A treats the ratio numbers as direct amounts without scaling.,ratios,proportions
M-064,Math,Problem-Solving and Data Analysis,Percent increase,6,B,15%,The increase was $12. Percent increase = 12/80 = 0.15 = 15%.,Choice A comes from dividing by the new price instead of the original price.,percent_change,baseline
M-065,Math,Problem-Solving and Data Analysis,Scatterplot interpretation,8,B,"There is a positive association between study time and score, but the relationship is not perfectly precise.","An upward trend indicates positive association, while wide spread means the relationship has variability and is not exact.",Choice D confuses association with proof of causation.,scatterplot_interpretation,association_vs_causation
M-066,Math,Problem-Solving and Data Analysis,Conditional probability,8,B,7/18,"The condition limits the sample space to the 18 students who play a sport. Of those, 7 also play an instrument, so the probability is 7/18.",Choice A incorrectly uses the total of 30 rather than the conditioned group of 18.,conditional_probability,given_that
M-067,Math,Problem-Solving and Data Analysis,Weighted average,8,C,90.8,"Set up the weighted average: 0.2(82) + 0.3(94) + 0.5x = 90. This gives 16.4 + 28.2 + 0.5x = 90, so 0.5x = 45.4 and x = 90.8.",Choice D comes from rounding too early or mishandling the weighted parts.,weighted_average,equation_setup
M-068,Math,Problem-Solving and Data Analysis,Percent of percent,7,C,$800,"Twenty-five percent of 640 is 160, so the new donation is 640 + 160 = 800.",Choice B comes from adding only 120 instead of 160.,percent_increase,base_amount
M-069,Math,Problem-Solving and Data Analysis,Sampling methods,8,B,Surveying students in one advanced placement study hall only,Students in one advanced placement study hall are not representative of the whole school and likely spend different amounts of time on homework than average.,"Choice A may have limitations, but it is still more representative than sampling only one specialized group.",sampling_bias,representativeness
M-070,Math,Problem-Solving and Data Analysis,Median / outliers,7,B,9,"The new ordered set is {4, 6, 8, 10, 12, 100}. With six numbers, the median is the average of the two middle values: (8 + 10)/2 = 9.",Choice A would be the original median and ignores the need to average the two middle values in an even-sized set.,median,outlier_effect
M-071,Math,Geometry and Trigonometry,Similar triangles,7,C,20,"If the scale factor from the shorter to the larger triangle is 5/3, then the corresponding side is 12 × 5/3 = 20.",Choice D can result from adding 12 and 8 instead of scaling proportionally.,similar_triangles,scale_factor
M-072,Math,Geometry and Trigonometry,Circle circumference,6,B,28π,"Circumference is 2πr. With r = 7, the circumference is 2π(7) = 28π.",Choice A forgets the factor of 2.,circle_formulas,circumference
M-073,Math,Geometry and Trigonometry,Right-triangle trigonometry,8,A,3/5,"By definition, sin θ = opposite/hypotenuse = 9/15 = 3/5.","Choice B reverses the ratio and is greater than 1, which cannot be the sine of an acute angle.",trig_ratio,definition
M-074,Math,Geometry and Trigonometry,Area,6,C,104,Area of a rectangle = length × width = 13 × 8 = 104.,Choice D comes from doubling the product unnecessarily.,area,formula_use
M-075,Math,Geometry and Trigonometry,Distance formula,8,A,10,Use the distance formula: √[(5 - (-1))^2 + (10 - 2)^2] = √(6^2 + 8^2) = √100 = 10.,Choice B adds the coordinate differences incorrectly without using the formula.,distance_formula,coordinate_geometry
M-076,Math,Geometry and Trigonometry,Arc measure,7,B,1/5,The fraction of the circumference is 72/360 = 1/5.,Choice C comes from dividing by 180 instead of 360.,arc_measure,fraction_of_circle
M-077,Math,Geometry and Trigonometry,Volume,7,C,90π,Volume of a cylinder is πr^2h = π(3^2)(10) = 90π.,Choice B forgets to square the radius.,volume,cylinder
M-078,Math,Geometry and Trigonometry,Perpendicular lines,8,C,-3/4,"Perpendicular slopes are negative reciprocals, so the slope is -3/4.",Choice A changes only the sign without taking the reciprocal.,perpendicular_slope,negative_reciprocal
M-079,Math,Geometry and Trigonometry,Angle relationships,7,C,40°,"Supplementary angles sum to 180°. The ratio parts total 9, so each part is 20°. The smaller angle is 2 × 20° = 40°.",Choice A comes from using one part instead of two parts.,angle_relationships,ratios
M-080,Math,Geometry and Trigonometry,Triangle angle sum,6,A,65°,"The interior angles of a triangle sum to 180°, so angle C = 180 - 48 - 67 = 65°.",Choice B results from subtracting only one of the known angles.,triangle_sum,basic_geometry
