question_id,section,domain,skill,difficulty_1_10,question_type,passage_or_prompt,question,choice_a,choice_b,choice_c,choice_d,estimated_time_sec,target_score_band,source_type,correct_answer,correct_choice_text,explanation,common_trap,primary_error_tag,secondary_error_tag
RW-011,Reading and Writing,Craft and Structure,Words in context,6,Vocabulary in context,"By publishing preliminary findings before the larger study was complete, the research team hoped to spark discussion rather than present a final, authoritative account.","As used in the text, ""authoritative"" most nearly means",punitive,conclusive,popular,lengthy,90,1450+,original_sat_style,B,conclusive,"In context, 'authoritative' contrasts with preliminary findings and refers to something final or conclusive.",Choice C mistakes authority for popularity.,vocab_in_context,context_clue
RW-012,Reading and Writing,Craft and Structure,Function of sentence,7,Rhetorical purpose,"Many desert plants appear fragile, yet several survive months without rain. One reason is that they open their stomata at night rather than during the day, limiting water loss in intense heat.",What function does the second sentence serve in the text?,It offers an example explaining how desert plants survive.,It presents a counterargument to the first sentence.,It defines a term introduced much earlier in the passage.,It shifts the discussion from plants to weather patterns.,90,1450+,original_sat_style,A,It offers an example explaining how desert plants survive.,"The second sentence explains one mechanism—opening stomata at night—that helps desert plants survive, so it serves as an explanatory example.",Choice B is wrong because the second sentence supports rather than opposes the first.,function,support_vs_counter
RW-013,Reading and Writing,Craft and Structure,Text structure,7,Passage structure,Paragraph 1 describes an architect's original plan for a public square. Paragraph 2 explains why residents objected to that plan. Paragraph 3 describes how the architect revised the design after receiving community feedback.,Which choice best describes the overall structure of the text?,"A proposal is presented, challenged, and then modified.",A problem is solved before it is fully defined.,A theory is proposed and then disproved by experiment.,Two unrelated design concepts are compared.,90,1450+,original_sat_style,A,"A proposal is presented, challenged, and then modified.","The text moves from original plan to objections to revision, so it presents, challenges, and modifies a proposal.","Choice C introduces experimentation, which the description does not mention.",text_structure,sequence
RW-014,Reading and Writing,Craft and Structure,Paired texts,8,Cross-text synthesis,"Text 1: Some economists argue that four-day workweeks can increase productivity by reducing burnout. 
Text 2: A manufacturing consultant notes that four-day schedules are harder to implement in factories that rely on continuous machine operation.",Which statement best describes a relationship between the texts?,"Text 1 argues that four-day workweeks always lower output, while Text 2 argues the opposite.","Text 1 presents a potential benefit of four-day workweeks, while Text 2 identifies a practical limitation.",Both texts claim that four-day workweeks are easy to adopt in manufacturing.,Both texts reject changes to traditional work schedules.,90,1450+,original_sat_style,B,"Text 1 presents a potential benefit of four-day workweeks, while Text 2 identifies a practical limitation.","Text 1 emphasizes a benefit, while Text 2 points out a context in which implementation is difficult.",Choice A reverses Text 1's claim.,paired_texts,compare_contrast
RW-015,Reading and Writing,Craft and Structure,Words in context,7,Vocabulary in context,"The editor did not reject the proposal outright; instead, she tempered her criticism by noting several strengths before suggesting major revisions.","As used in the text, ""tempered"" most nearly means",softened,heated,sharpened,concealed,90,1450+,original_sat_style,A,softened,"In context, the editor moderated or softened her criticism by acknowledging strengths first.",Choice C is the opposite of the contextual meaning.,vocab_in_context,opposite_choice
RW-016,Reading and Writing,Craft and Structure,Author's purpose,7,Rhetorical purpose,"""The river is not merely a border on the map,"" the mayor said. ""It is the reason this town exists.""",The quotation primarily serves to,supply technical evidence about river pollution levels,emphasize the river's symbolic and historical importance to the town,argue that the mayor opposes all new construction near the river,show that the mayor disagrees with the town's residents,90,1450+,original_sat_style,B,emphasize the river's symbolic and historical importance to the town,The quotation elevates the river beyond geography and underscores its importance to the town's identity and history.,Choice A mistakes a symbolic remark for technical evidence.,purpose,figurative_language
RW-017,Reading and Writing,Craft and Structure,Tone / implication,6,Passage analysis,"The critic praised the film's ambition but noted that its final act was ""so determined to explain itself that it left little room for mystery.""",Which choice best captures the critic's view of the film's ending?,It is exciting because it introduces several unanswered questions.,It is confusing because it withholds too much information.,It is overly explicit and therefore less intriguing.,It is unrealistic and therefore unintentionally funny.,90,1450+,original_sat_style,C,It is overly explicit and therefore less intriguing.,"The critic says the ending explains itself too much, leaving little room for mystery, so it is overly explicit and less intriguing.",Choice B says the opposite of the critic's complaint.,tone,paraphrase
RW-018,Reading and Writing,Craft and Structure,Transition of idea,7,Paragraph development,"Scientists once believed that all dinosaurs were scaly reptiles. New fossil evidence, ______, suggests that many species had feather-like structures.",Which choice most logically completes the text?,for instance,however,meanwhile,therefore,90,1450+,original_sat_style,B,however,"The second sentence contrasts with the earlier belief, so 'however' is the most logical transition.","Choice A introduces an example, not a contrast.",transition_logic,logical_relationship
RW-019,Reading and Writing,Craft and Structure,Paired texts disagreement,8,Cross-text synthesis,"Text 1: A botanist argues that introducing native wildflowers to urban medians can support pollinators with minimal maintenance. 
Text 2: A transportation official argues that tall plantings in medians can reduce driver visibility and should therefore be limited.",On which point would the authors most likely disagree?,Whether pollinators benefit from access to flowering plants,Whether urban medians can serve ecological functions,Whether plantings in medians should be expanded broadly,Whether transportation officials influence roadside design,90,1450+,original_sat_style,C,Whether plantings in medians should be expanded broadly,"The botanist supports planting wildflowers in medians, while the transportation official argues such plantings should be limited because of visibility concerns.","Choice A is less clearly disputed; the official's concern is visibility, not pollinator biology.",paired_texts,disagreement
RW-020,Reading and Writing,Craft and Structure,Interpretive nuance,7,Vocabulary in context,"Because the archive contains only fragments of the original manuscript, scholars must be cautious about drawing sweeping conclusions from it.","As used in the text, ""sweeping"" most nearly means",broad,careless,elegant,temporary,90,1450+,original_sat_style,A,broad,"In context, 'sweeping conclusions' means broad or far-reaching conclusions.","Choice B may sound plausible, but the phrase specifically emphasizes scope.",vocab_in_context,idiom
RW-021,Reading and Writing,Expression of Ideas,Transitions,6,Revision,"The lab's new sensor is inexpensive to manufacture. ______, it can detect leaks earlier than the previous model.",Which choice completes the text with the most logical transition?,"Similarly,","In contrast,","Moreover,","Instead,",90,1450+,original_sat_style,C,"Moreover,","The second sentence adds another advantage of the sensor, so 'Moreover' is the best transition.","Choice A implies similarity, but the relationship is additive.",transition,additive_logic
RW-022,Reading and Writing,Expression of Ideas,Sentence placement,7,Revision,"(1) The museum recently digitized thousands of photographs from its collection. 
(2) The project allows researchers to search the archive remotely. 
(3) Many of the photographs had previously been available only to visitors who could examine them in person. 
(4) As a result, scholars from other countries can now study the collection more easily.",Where should sentence 3 be placed to best improve the paragraph?,Before sentence 1,After sentence 1,After sentence 2,After sentence 4,90,1450+,original_sat_style,C,After sentence 2,Sentence 3 gives the prior condition—access only in person—so placing it after sentence 2 sets up sentence 4's result clearly.,Choice B disrupts the flow before the digitization project's benefits are introduced.,sentence_placement,paragraph_coherence
RW-023,Reading and Writing,Expression of Ideas,Combining sentences,7,Revision,The composer revised the score several times. The final version was shorter and more rhythmically complex.,Which choice most effectively combines the sentences?,"The composer revised the score several times, and the final version was shorter and more rhythmically complex.","The composer revised the score several times, shorter and more rhythmically complex.","The final version was shorter and more rhythmically complex, and the composer revised the score several times because of it.","Several times the composer revised the score, and shorter and more rhythmically complex was the final version.",90,1450+,original_sat_style,A,"The composer revised the score several times, and the final version was shorter and more rhythmically complex.",Choice A is grammatically correct and preserves both ideas clearly and concisely.,Choice B creates a dangling phrase without a clear verb structure.,combining_sentences,grammar_clarity
RW-024,Reading and Writing,Expression of Ideas,Using notes,7,Synthesis from notes,"Notes:
• The solar car race began in 1987.
• Teams design vehicles powered primarily by sunlight.
• The race has helped engineers test lightweight materials and battery systems.
• Some technologies from race vehicles later influenced commercial design.",The student wants to emphasize the race's value as a testing ground for innovation. Which choice best uses information from the notes to accomplish this goal?,"The solar car race, which began in 1987, features teams that design vehicles powered primarily by sunlight.","Since 1987, the solar car race has served as a proving ground where engineers test lightweight materials and battery systems that can later influence commercial vehicle design.","Commercial vehicle design has changed over time, and some races also use sunlight as a power source.","Teams in the solar car race design unusual vehicles, and many races have been held since 1987.",90,1450+,original_sat_style,B,"Since 1987, the solar car race has served as a proving ground where engineers test lightweight materials and battery systems that can later influence commercial vehicle design.",Choice B best emphasizes the race as a testing ground by focusing on engineers testing materials and battery systems that later affect commercial design.,Choice A is accurate but does not focus on innovation or testing value.,use_notes,goal_alignment
RW-025,Reading and Writing,Expression of Ideas,Topic sentence,6,Revision,"A paragraph explains that a city's new rain gardens absorb stormwater, reduce street flooding, and filter runoff before it enters nearby streams.",Which choice is the most effective topic sentence for the paragraph?,Rain gardens are an increasingly common feature in many cities.,The city installed rain gardens because residents enjoy new landscaping.,The city's new rain gardens provide several environmental benefits.,Streams near cities can become polluted after storms.,90,1450+,original_sat_style,C,The city's new rain gardens provide several environmental benefits.,"The paragraph describes multiple benefits, so the best topic sentence introduces those benefits broadly.",Choice A is too general and does not preview the paragraph's specific focus.,topic_sentence,scope_match
RW-026,Reading and Writing,Expression of Ideas,Logical order,7,Revision,"A student wrote the following sentences:
(1) Engineers first tested the bridge design using a scale model.
(2) They then revised the design to reduce wind resistance.
(3) After the full bridge was built, sensors were installed to monitor movement.
(4) The bridge ultimately opened to traffic in 2024.",Which sequence best reflects a logical order for the sentences?,"1, 2, 3, 4","1, 3, 2, 4","2, 1, 3, 4","3, 1, 2, 4",90,1450+,original_sat_style,A,"1, 2, 3, 4",The actions proceed logically from testing to revision to construction/monitoring to opening.,"Choice B places monitoring after full construction before revision, which is illogical.",logical_order,chronology
RW-027,Reading and Writing,Expression of Ideas,Concluding sentence,7,Revision,"A paragraph describes how a community theater expanded free student matinees, added transportation grants for schools, and partnered with teachers to create lesson materials tied to performances.",Which choice best concludes the paragraph?,The theater was founded by volunteers in 1978.,These efforts have made it easier for more students to experience live performance as part of their education.,Many performances require elaborate costumes and set construction.,Some schools also organize field trips to museums and historic sites.,90,1450+,original_sat_style,B,These efforts have made it easier for more students to experience live performance as part of their education.,Choice B synthesizes the paragraph's details into a clear concluding idea about broader student access.,Choice A adds background rather than concluding the paragraph's main point.,conclusion,synthesis
RW-028,Reading and Writing,Expression of Ideas,Integrating quantitative information,8,Data integration,"A chart shows that a plant species reached average heights of 12 cm in low light, 19 cm in medium light, and 18 cm in high light.",Which sentence most accurately describes the data?,"The plants grew tallest in medium light, slightly taller than in high light.",Plant height increased steadily as light intensity increased.,High light produced the shortest plants.,Low light and high light produced identical average heights.,90,1450+,original_sat_style,A,"The plants grew tallest in medium light, slightly taller than in high light.","The highest average height is 19 cm in medium light, compared with 18 cm in high light and 12 cm in low light.",Choice B is wrong because height dips slightly from medium to high light.,data_integration,trend_misread
RW-029,Reading and Writing,Expression of Ideas,Precision and concision,6,Revision,The company announced plans to relocate its headquarters to a new downtown building located in the downtown area.,Which revision is most effective?,The company announced plans to relocate its headquarters to a new downtown building.,The company announced plans to relocate its headquarters to a downtown building in a downtown area.,"The company, announcing plans, relocated its headquarters to a new building that was downtown.",Plans were announced by the company to relocate its headquarters to a building located downtown in the downtown area.,90,1450+,original_sat_style,A,The company announced plans to relocate its headquarters to a new downtown building.,Choice A removes the redundant phrase 'located in the downtown area' while keeping the meaning clear.,Choice D is wordy and repeats the same idea.,concision,redundancy
RW-030,Reading and Writing,Expression of Ideas,Relevant support,7,Revision,"Claim: Community gardens can strengthen neighborhoods.
Which sentence would best support the claim?",Choose the best supporting sentence.,Many vegetables require careful watering and fertile soil.,"In one neighborhood, residents who worked in a shared garden later organized additional cleanup projects and block events.",Some gardeners prefer growing flowers rather than vegetables.,"Cities have created parks, bike lanes, and public art projects.",90,1450+,original_sat_style,B,"In one neighborhood, residents who worked in a shared garden later organized additional cleanup projects and block events.",Choice B directly supports the claim by showing how a shared garden encouraged broader community engagement.,Choice D mentions other projects but does not specifically support the claim about gardens.,supporting_detail,evidence_relevance
RW-031,Reading and Writing,Standard English Conventions,Punctuation,6,Grammar,"The robotics team won the regional competition, however, it still needed to raise money for the national event.",Which choice best corrects the sentence?,"The robotics team won the regional competition, however it still needed to raise money for the national event.","The robotics team won the regional competition; however, it still needed to raise money for the national event.",The robotics team won the regional competition however; it still needed to raise money for the national event.,"The robotics team won the regional competition, and however, it still needed to raise money for the national event.",90,1450+,original_sat_style,B,"The robotics team won the regional competition; however, it still needed to raise money for the national event.",Two independent clauses joined by the conjunctive adverb 'however' require a semicolon before 'however' and a comma after it.,Choice A leaves a comma splice.,punctuation,comma_splice
RW-032,Reading and Writing,Standard English Conventions,Subject-verb agreement,6,Grammar,"A list of emergency supplies, including flashlights and batteries, ______ stored in the cabinet near the door.",Which choice completes the text so that it conforms to Standard English conventions?,are,were,is,have been,90,1450+,original_sat_style,C,is,"The subject is 'A list,' which is singular, so the correct verb is 'is.'",Choice A incorrectly matches the plural noun 'supplies' instead of the singular subject 'list.',subject_verb_agreement,interrupter_phrase
RW-033,Reading and Writing,Standard English Conventions,Pronoun clarity,7,Grammar,"When Maya met Elena after the debate, she said the moderator's final question had been the most difficult.",Which revision best clarifies the sentence?,"When Maya met Elena after the debate, the moderator's final question had been the most difficult.","After the debate, Maya told Elena that the moderator's final question had been the most difficult.","When Maya met Elena after the debate, she had said the moderator's final question had been the most difficult.",The moderator's final question had been the most difficult when Maya met Elena after the debate.,90,1450+,original_sat_style,B,"After the debate, Maya told Elena that the moderator's final question had been the most difficult.",Choice B makes it clear that Maya is the one speaking to Elena.,Choice C still leaves 'she' ambiguous.,pronoun_clarity,ambiguous_pronoun
RW-034,Reading and Writing,Standard English Conventions,Modifier placement,7,Grammar,"Running down the trail, the rain began to fall more heavily around the hikers.",Which choice best corrects the sentence?,"Running down the trail, the rain began to fall more heavily around the hikers.","As the hikers ran down the trail, the rain began to fall more heavily around them.","The rain, running down the trail, began to fall more heavily around the hikers.","Around the hikers, running down the trail, the rain began to fall more heavily.",90,1450+,original_sat_style,B,"As the hikers ran down the trail, the rain began to fall more heavily around them.",The original sentence has a dangling modifier implying that the rain was running down the trail. Choice B correctly attaches the action to the hikers.,Choice A keeps the dangling modifier.,modifier_placement,dangling_modifier
RW-035,Reading and Writing,Standard English Conventions,Verb tense,6,Grammar,"Last year, the orchestra performs three new compositions and commissions a fourth from a local composer.",Which choice best completes the sentence so that it conforms to Standard English conventions?,performs; commissions,performed; commissioned,has performed; commissioned,was performing; commission,90,1450+,original_sat_style,B,performed; commissioned,"'Last year' sets the sentence in the past, so both verbs should be in the simple past tense: 'performed' and 'commissioned.'",Choice A uses present tense despite the past-time marker.,tense_consistency,time_marker
RW-036,Reading and Writing,Standard English Conventions,Possessives,6,Grammar,The two ______ offices were located on opposite sides of the hall.,Which choice completes the text so that it conforms to Standard English conventions?,editors,editors',editor's,editors's,90,1450+,original_sat_style,B,editors',"The offices belong to two editors, so the plural possessive form 'editors'' is correct.","Choice C is singular possessive, not plural possessive.",possessives,apostrophe
RW-037,Reading and Writing,Standard English Conventions,Colon usage,7,Grammar,"The chef relied on three ingredients for the sauce ______ tomatoes, basil, and roasted garlic.",Which choice completes the text so that it conforms to Standard English conventions?,;,:,",",— and,90,1450+,original_sat_style,B,:,A colon correctly introduces the list that follows an independent clause.,Choice C would create an incorrect splice before the list.,punctuation,colon
RW-038,Reading and Writing,Standard English Conventions,Sentence boundaries,7,Grammar,The manuscript was incomplete. Several pages were missing from the final chapter.,Which choice most effectively combines the sentences?,"The manuscript was incomplete, several pages were missing from the final chapter.","The manuscript was incomplete, with several pages missing from the final chapter.",The manuscript was incomplete; and several pages were missing from the final chapter.,"The manuscript was incomplete because several pages were missing, from the final chapter.",90,1450+,original_sat_style,B,"The manuscript was incomplete, with several pages missing from the final chapter.",Choice B combines the ideas smoothly without creating a comma splice.,Choice A incorrectly joins two independent clauses with only a comma.,sentence_boundaries,runon
RW-039,Reading and Writing,Standard English Conventions,Parallel structure,7,Grammar,"The internship helped Ana develop new coding skills, to improve her presentation style, and confidence in meetings.",Which choice best completes the sentence so that it conforms to Standard English conventions?,"to improve her presentation style, and confidence in meetings","improving her presentation style, and feeling confident in meetings","improve her presentation style, and gain confidence in meetings","improved her presentation style, and to gain confidence in meetings",90,1450+,original_sat_style,C,"improve her presentation style, and gain confidence in meetings","The series should be parallel with three infinitive-style ideas after 'helped Ana': develop, improve, and gain.",Choice A breaks the parallel structure.,parallel_structure,series_balance
RW-040,Reading and Writing,Standard English Conventions,Nonessential punctuation,8,Grammar,"The novel, published in 1928 and rediscovered decades later has recently been adapted for television.",Which choice best corrects the sentence?,"The novel, published in 1928 and rediscovered decades later, has recently been adapted for television.","The novel published in 1928, and rediscovered decades later has recently been adapted for television.","The novel published in 1928 and rediscovered decades later, has recently been adapted for television.","The novel, published in 1928, and rediscovered decades later has recently been adapted for television.",90,1450+,original_sat_style,A,"The novel, published in 1928 and rediscovered decades later, has recently been adapted for television.",The phrase 'published in 1928 and rediscovered decades later' is nonessential and should be enclosed with a matching pair of commas.,"Choice C has only one comma, so the nonessential phrase is not correctly set off.",nonessential_elements,comma_pair
M-041,Math,Algebra,Solve linear equation,5,Multiple choice,,Solve for x: 3(2x - 5) = 4x + 7,x = 11,x = 8,x = 5,x = 3.5,75,1450+,original_sat_style,A,x = 11,"Expand: 6x - 15 = 4x + 7. Subtract 4x: 2x - 15 = 7. Add 15: 2x = 22, so x = 11.","For choice B, a common mistake is adding 15 incorrectly.",algebra_steps,linear_equation
M-042,Math,Algebra,Systems of equations,6,Word problem,,A school sold 84 tickets to a play. Student tickets cost $6 and adult tickets cost $10. The total revenue was $664. How many adult tickets were sold?,24,30,40,44,90,1450+,original_sat_style,C,40,"Let s be student tickets and a be adult tickets. Then s + a = 84 and 6s + 10a = 664. Substitute s = 84 - a: 6(84 - a) + 10a = 664. This gives 504 - 6a + 10a = 664, so 4a = 160 and a = 40.",A common error is subtracting 504 from 664 incorrectly or forgetting to divide by 4.,system_setup,substitution
M-043,Math,Algebra,Linear function from table,6,Table,"x: 1, 3, 5
f(x): 7, 13, 19",Which equation defines f(x)?,f(x) = 3x + 4,f(x) = 2x + 5,f(x) = 6x + 1,f(x) = x + 6,75,1450+,original_sat_style,A,f(x) = 3x + 4,"As x increases by 2, f(x) increases by 6, so the slope is 3. Using point (1,7): 7 = 3(1) + b, so b = 4. Therefore f(x) = 3x + 4.",Choice B uses the correct y-intercept from the first point only if the slope is misread.,slope_from_table,linear_model
M-044,Math,Algebra,Solve inequality,6,Multiple choice,,Which solution set satisfies 5 - 2x > 11?,x > -3,x < -3,x > 3,x < 3,60,1450+,original_sat_style,B,x < -3,Subtract 5 from both sides: -2x > 6. Divide by -2 and reverse the inequality: x < -3.,The common trap is forgetting to reverse the inequality when dividing by a negative number.,inequality_sign,linear_inequality
M-045,Math,Algebra,Rearranging formulas,6,Multiple choice,,"For the formula P = 2L + 2W, which expression gives W in terms of P and L?",W = P - 2L,W = (P - 2L)/2,W = P/2 - L/2,W = 2P - L,75,1450+,original_sat_style,B,W = (P - 2L)/2,"Subtract 2L from both sides to get P - 2L = 2W, then divide by 2: W = (P - 2L)/2.","Choice C does not simplify correctly from the formula because P/2 - L/2 equals (P - L)/2, not (P - 2L)/2.",formula_rearrangement,isolation
M-046,Math,Algebra,Linear relationship,7,Multiple choice,,"A line passes through the points (2, -1) and (6, 11). What is the slope of the line?",2,3,4,6,45,1450+,original_sat_style,B,3,Slope = (11 - (-1)) / (6 - 2) = 12/4 = 3.,Choice C comes from dividing 12 by 3 instead of by 4.,slope,coordinate_plane
M-047,Math,Algebra,Equation of a line,7,Multiple choice,,"What is the equation of the line that passes through (4, 3) and has slope -2?",y = -2x + 11,y = -2x - 5,y = 2x - 5,y = -x + 7,75,1450+,original_sat_style,A,y = -2x + 11,"Use y = mx + b with m = -2. Substitute point (4,3): 3 = -2(4) + b = -8 + b, so b = 11. Thus y = -2x + 11.",Choice B uses the correct slope but wrong intercept.,point_slope,line_equation
M-048,Math,Algebra,Systems classification,7,Multiple choice,,Consider the system y = 3x + 2 and 6x - 2y = -4. How many solutions does the system have?,0,1,2,Infinitely many,60,1450+,original_sat_style,D,Infinitely many,"Rewrite the second equation: 6x - 2y = -4 -> divide by -2 gives y = 3x + 2. The equations represent the same line, so there are infinitely many solutions.",Choice B would be correct only if the lines had different slopes.,system_classification,equivalent_equations
M-049,Math,Algebra,Function notation,5,Multiple choice,,"If f(x) = 4x - 7, what is f(5)?",13,20,27,-27,45,1450+,original_sat_style,A,13,Substitute x = 5: f(5) = 4(5) - 7 = 20 - 7 = 13.,Choice B comes from forgetting to subtract 7.,function_notation,substitution
M-050,Math,Algebra,Word problem,7,Multiple choice,,"A gym charges a one-time registration fee of $25 plus $18 per month. Which equation gives the total cost C, in dollars, after m months?",C = 25m + 18,C = 18m + 25,C = 43m,C = 18 + 25m,45,1450+,original_sat_style,B,C = 18m + 25,"The one-time fee is the constant term 25, and the monthly cost is 18 multiplied by the number of months m.",Choice A reverses the roles of the constant fee and the monthly rate.,modeling,linear_word_problem
M-051,Math,Advanced Math,Quadratic factorization,6,Multiple choice,,What are the solutions to x^2 - 5x + 6 = 0?,x = -2 and x = -3,x = 2 and x = 3,x = 1 and x = 6,x = -1 and x = -6,60,1450+,original_sat_style,B,x = 2 and x = 3,Factor: x^2 - 5x + 6 = (x - 2)(x - 3). Setting each factor to zero gives x = 2 and x = 3.,"Choice C uses numbers that multiply to 6 but add to 7, not 5.",quadratic_factoring,roots
M-052,Math,Advanced Math,Vertex form,7,Multiple choice,,Which expression is equivalent to x^2 - 6x + 13?,(x - 3)^2 + 4,(x - 3)^2 - 4,(x + 3)^2 + 4,(x + 3)^2 - 4,75,1450+,original_sat_style,A,(x - 3)^2 + 4,Complete the square: x^2 - 6x + 13 = x^2 - 6x + 9 + 4 = (x - 3)^2 + 4.,"Choice B forgets that adding 9 requires adjusting with +4, not -4.",complete_the_square,vertex_form
